;pval;padj;log2err;ES;NES;size;leadingEdge
HOXC4;8,41E-18;1,27E-13;1,086440543;-0,617497672;-3,084311389;97;cg07266404, cg20381985, cg17026220, cg21493516, cg21487207, cg22151644, cg15660418, cg00560793, cg10561239, cg13568192, cg05982757, cg24735790, cg02470595, cg04794183, cg14437274, cg23618344, cg11746813, cg02491692, cg15894722, cg26035702, cg18266450, cg05992786, cg04576672, cg15772924, cg16937769, cg05296643, cg15817960, cg26472714, cg18695839, cg27138204, cg27002522, cg22747076, cg23047434, cg27305809, cg05477933, cg27441225, cg22358580, cg21703606, cg22378817, cg04704531, cg01683044, cg27665143, cg21041775, cg03923561, cg07545037, cg24896860, cg09481972, cg04105511, cg12075107, cg05349837, cg22370252, cg26162108, cg15233062, cg01153660, cg00567703, cg02264990
LINGO1;4,84E-12;3,66E-08;0,887074988;-0,648764444;-2,941951417;56;cg13727042, cg24534880, cg03585572, cg25874827, cg19950114, cg24823709, cg16326821, cg03810199, cg09910934, cg25418380, cg11339488, cg20590126, cg14329400, cg20086133, cg21652460, cg13324647, cg24313891, cg12205688, cg06699146, cg12688687, cg16215520, cg22586472, cg06959320, cg04944506, cg10126991, cg22074481, cg27247347, cg00413852, cg14490984, cg07625020, cg16846569, cg10324568, cg11563498
GABRA1;3,14E-11;1,58E-07;0,851339057;-0,819802526;-2,971496171;23;cg19176733, cg08066141, cg24860775, cg06479604, cg24554147, cg16355785, cg04525544, cg02322252, cg11092553, cg20492597, cg06907391, cg24523000, cg15501861, cg12340947, cg24842908, cg00048832, cg02065387, cg00051179, cg05982485, cg23702430
HOXC6;1,44E-10;5,46E-07;0,826657301;-0,654891573;-2,796844534;44;cg20381985, cg17026220, cg21487207, cg15660418, cg00560793, cg13568192, cg04794183, cg02491692, cg26035702, cg18266450, cg04576672, cg15772924, cg16937769, cg05296643, cg15817960, cg23047434, cg27305809, cg27441225, cg22378817, cg04704531, cg01683044, cg24896860, cg09481972, cg04105511, cg26162108, cg01153660, cg00567703
HRNBP3;2,03E-10;6,13E-07;0,826657301;-0,523119725;-2,571123542;86;cg19391924, cg07832143, cg18910127, cg24513522, cg12780873, cg02743895, cg21555877, cg09837116, cg12571055, cg08504407, cg06389444, cg19447923, cg01455398, cg15081027, cg19110654, cg20447452, cg24096120, cg10654584, cg14477973, cg17167303, cg18499201, cg19442493, cg02150820, cg00380428, cg22114424, cg04239994, cg18522655, cg10779196, cg24366429, cg18945299, cg17295235, cg17614801
PRKCZ;3,63E-10;9,16E-07;0,814035838;-0,509206301;-2,529296107;89;cg08106205, cg07684553, cg17497824, cg02300356, cg12828504, cg00312809, cg00666247, cg27427908, cg25304754, cg02607043, cg08109625, cg22626579, cg03732007, cg00130343, cg00095688, cg26561349, cg06176608, cg02138098, cg06204101, cg00866690, cg24577455, cg17748900, cg17023856, cg01164686, cg26910870, cg21137823, cg16735509, cg08000672, cg25319188, cg07375700, cg09560161, cg04349178, cg17495046, cg22868225, cg16048006, cg03580279, cg26335530, cg22342249, cg19255464, cg25139718
RBFOX3;4,16E-09;8,99E-06;0,761460801;-0,601835977;-2,646983004;49;cg13841463, cg09001689, cg08221413, cg06287520, cg26068246, cg10920336, cg02118741, cg12220370, cg20065282, cg14088970, cg06815523, cg02326358, cg24121089, cg03452160, cg16732013, cg16010904, cg17647582, cg09456992, cg10706405, cg00632174, cg18902763, cg15313136, cg05885623, cg03803865, cg04900855, cg13207658, cg16208622, cg07672102, cg13776255
INTU;6,08E-09;1,15E-05;0,761460801;-0,92993328;-2,553942268;10;cg13084458, cg27431234, cg19854376, cg15437651, cg24003635, cg21951594, cg22357337, cg24008263, cg11779273
PPP1R10;7,57E-09;1,27E-05;0,747739663;-0,633230531;-2,687977549;42;cg08677140, cg00990221, cg25448947, cg18207141, cg18561902, cg19182468, cg24330922, cg12245402, cg10182531, cg24144175, cg09702881, cg00918762, cg16410241, cg23583454, cg00320625, cg15735240, cg23326824, cg04694022, cg04862321, cg23988749, cg12648600, cg04176995, cg23591342, cg02809877, cg26722322, cg18180874, cg03441461, cg12503292
PPP2R2C;1,13E-08;1,71E-05;0,747739663;-0,737658979;-2,724895608;25;cg22960418, cg14485977, cg18415723, cg21910367, cg02766173, cg01208224, cg10007218, cg09235599, cg18056635, cg25542878, cg14104342, cg02405211, cg05243987, cg20966358, cg05218860, cg14135638
