;pval;padj;log2err;ES;NES;size;leadingEdge
IGF2;1,78E-13;2,69247E-09;0,943632225;0,648182977;2,831059865;69;cg18087943, cg16977706, cg14608156, cg13791131, cg26517849, cg09866172, cg16415340, cg01368777, cg19002337, cg24047810, cg01667319, cg11915650, cg21667878, cg06460568, cg19371526, cg17300736, cg16817891, cg24431667, cg17462140, cg25574024, cg10037494, cg20339650, cg17434309, cg20622142, cg13167664, cg05452899, cg24366657, cg15168906, cg20792294, cg12322132
LINGO1;7,13E-13;5,39749E-09;0,921426003;-0,709199829;-2,590323024;56;cg09910934, cg24534880, cg24313891, cg27247347, cg00413852, cg22074481, cg16326821, cg25874827, cg14490984, cg11563498, cg04944506, cg12688687, cg25418380, cg03585572, cg19950114, cg03810199, cg03703348, cg08128636, cg05043823, cg11339488, cg16846569, cg13727042, cg14329400, cg15501483, cg06699146, cg20590126, cg06061712, cg05152399, cg20086133, cg22586472, cg21652460, cg13324647
ALX4;1,29E-11;4,87374E-08;0,875325132;0,7413837;2,764277542;37;cg08149193, cg02184008, cg16321280, cg15786900, cg07704934, cg04367252, cg06245037, cg24008884, cg00221654, cg13408594, cg21978924, cg11391201, cg02504416, cg10749822, cg04988423, cg09649245, cg23385200, cg26717041, cg15817236, cg04578774, cg00268840
TRIM27;1,26E-11;4,87374E-08;0,875325132;0,754728047;2,810048138;36;cg00875200, cg25589651, cg19519384, cg14667731, cg26824807, cg16337831, cg16578453, cg08895903, cg08404201, cg13646645, cg23756442, cg21568286, cg09805314, cg27219662, cg06600118, cg03270340, cg14322215, cg09855662, cg19494464, cg11629443, cg10905031, cg13110966
HOXA3;3,76E-11;1,13758E-07;0,851339057;0,682201511;2,722847862;47;cg07522913, cg18680977, cg04351734, cg18430152, cg16406967, cg01301319, cg24360871, cg22962123, cg02439266, cg23806243, cg07942135, cg19240213, cg09144964, cg05851442, cg16748008, cg08101036, cg07917150, cg01027532, cg22798849, cg00921266, cg03536885, cg12305431
NKX6-2;1,51E-10;3,80597E-07;0,826657301;0,825918706;2,683635376;23;cg00626110, cg27583690, cg07055616, cg00018024, cg00699945, cg05904135, cg08441806, cg08444220, cg16949120, cg01384488, cg17259183, cg17996619, cg11163901, cg10171448, cg19701540, cg24659054
HOXB3;2,34E-10;5,05468E-07;0,814035838;0,754973292;2,761050937;33;cg13293524, cg03602288, cg15255390, cg21399057, cg05323879, cg07850987, cg13479204, cg21474786, cg04800503, cg12910797, cg20152430, cg23014425, cg06186155, cg24761525
PMEPA1;4,98E-09;8,3761E-06;0,761460801;-0,693865371;-2,432928476;44;cg26912636, cg15703886, cg23638048, cg02775131, cg06272087, cg18023251, cg20208990, cg01117384, cg12473257, cg14777939, cg10214074, cg02092807, cg16178855, cg00238543, cg07411532, cg26236009, cg12514933, cg00024998
MYT1L;4,96E-09;8,3761E-06;0,761460801;-0,695174812;-2,420006363;42;cg20391058, cg10109486, cg15225844, cg14232874, cg14615195, cg03758732, cg02179341, cg16188379, cg15338388, cg15344442, cg19544065, cg00913032, cg07910488, cg22200744, cg06319999, cg09222505, cg02304095, cg20247911, cg05960850, cg22865176, cg04978664, cg21127365, cg09334699, cg13205617, cg22350910, cg01821656, cg01144650, cg04596067
IGF2AS;8,19E-09;1,23893E-05;0,747739663;0,772875177;2,566435264;25;cg18087943, cg14608156, cg26517849, cg16415340, cg19002337, cg01667319, cg11915650, cg21667878, cg19371526, cg10037494, cg20339650, cg17434309, cg05452899, cg24366657, cg15393937, cg09694722
PPP2R2C;9,76E-09;1,26421E-05;0,747739663;-0,792736971;-2,45947405;25;cg22960418, cg14485977, cg21910367, cg09235599, cg15261340, cg18056635, cg01208224, cg18415723, cg02766173, cg14104342, cg21510186, cg05243987, cg07867360, cg10007218, cg02405211
MIR886;1,00E-08;1,26421E-05;0,747739663;0,979779677;2,181034313;6;cg26896946, cg25340688, cg08745965, cg06536614, cg00124993, cg18797653
RBFOX3;1,64E-08;1,90869E-05;0,733761988;-0,657209837;-2,351326652;49;cg13841463, cg09001689, cg18902763, cg07672102, cg20065282, cg03452160, cg06287520, cg10706405, cg08221413, cg12220370, cg14609043, cg10920336, cg24121089, cg25242907, cg14088970, cg26408837, cg02326358, cg26068246, cg16208622, cg02118741, cg16732013, cg00632174, cg13776255, cg05885623, cg16010904, cg06815523, cg11708780, cg04900855, cg17647582
ZNF608;1,89E-08;2,04739E-05;0,733761988;0,956210571;2,310362774;8;cg19861823, cg20237752, cg14392182, cg15827169, cg13849459, cg26878870, cg26413942, cg16633058
VENTX;2,90E-08;2,92503E-05;0,733761988;0,789095079;2,536941562;21;cg06500714, cg02317400, cg01222324, cg04652645, cg25946326, cg03786388, cg20112079, cg07370771, cg19580752, cg25577463, cg00488787, cg18727936, cg18002909, cg25153759, cg14900295, cg11466935
OSBPL5;4,46E-08;4,21453E-05;0,719512826;-0,693327424;-2,359834674;39;cg03361664, cg15964132, cg06405129, cg08731067, cg18591228, cg23910098, cg09729166, cg26073542, cg08124000, cg25487804, cg10495980, cg04672275, cg24931954, cg23436703, cg01309081, cg04887468, cg25908390, cg13200188
HRNBP3;5,58E-08;4,96584E-05;0,719512826;-0,547080933;-2,142694851;86;cg19391924, cg02743895, cg20207715, cg07832143, cg18910127, cg06389444, cg20214871, cg12780873, cg05490757, cg10654584, cg15081027, cg00380428, cg16329014, cg17167303, cg10779196, cg24366429, cg19110654, cg24096120, cg08504407, cg24513522, cg12571055, cg14477973, cg10759591, cg19447923, cg11586239, cg18499201, cg21130463, cg17295235, cg00802224, cg08890067, cg15416417, cg16264458, cg06150772
